cross_street,direction,lat,lon,municipality,name,phase,source,stage1,stage2,status,stop_id,street,lat_orig,lon_orig,move_distance_m,kept
Northfield Dr E,,43.50214203604908,-80.53360297107686,Waterloo,King St N at Northfield Dr E,,GRT,,,Active,11136,King St N,43.502142,-80.533603,0.004637867896845492,1
Bridge St W,,43.51191698,-80.52326695,Waterloo,Frobisher Dr at Bridge St W,,GRT,,,Active,12772,Frobisher Dr,43.51191698,-80.52326695,0.0,1
John St W,,43.45444696,-80.52760496,Waterloo,Westmount Rd S at John St W,,GRT,,,Active,11828,Westmount Rd S,43.45444696,-80.52760496,0.0,1
Fischer-Hallman Rd N,,43.45819549,-80.557256,Waterloo,Keats Way at Fischer-Hallman Rd N,,GRT,,,Active,12991,Keats Way,43.45819549,-80.557256,0.0,1
Henry St,,43.53299040912772,-80.55456141352691,Woolwich,King St N at Henry St,,GRT,,,Active,11139,King St N,43.53299298,-80.55456195,0.28912074501505236,1
Old Abbey Rd,,43.49994822204027,-80.52560938952813,Waterloo,Davenport Rd at Old Abbey Rd,,GRT,,,Active,10211,Davenport Rd,43.49994799,-80.52560995,0.052051513273308286,1
Glasgow St,,43.44755881070969,-80.52849834962763,Kitchener,Inwood Dr at Glasgow St,,GRT,,,Active,12315,Inwood Dr,43.44756002,-80.52849797,0.1379150900809455,1
Overlea Dr,,43.43528701,-80.51253803,Kitchener,Westmount Rd W at Overlea Dr,,GRT,,,Active,12239,Westmount Rd W,43.43528701,-80.51253803,0.0,1
Rupert St,,43.50659244777234,-80.5344604891948,Waterloo,Northland Rd at Rupert St,,GRT,,,Active,10226,Northland Rd,43.506596,-80.534454,0.655675200270169,1
ION platform - Northbound,,43.49720677127012,-80.543174324599,Waterloo,Northfield Station at ION platform - Northbound,,GRT,,,Active,13375,Northfield Station,43.497206,-80.543176,0.16005625132452747,1
Westcourt Pl,,43.46217696,-80.53902699,Waterloo,Westmount Rd N at Westcourt Pl,,GRT,,,Active,11734,Westmount Rd N,43.46217696,-80.53902699,0.0,1
William St,,43.455895401782605,-80.52906689270198,Waterloo,Westmount Rd S at William St,,GRT,,,Active,11829,Westmount Rd S,43.45589295,-80.52906801,0.28715520714567816,1
Marshall,,43.47246953662821,-80.52405814118067,Waterloo,King St N at Marshall,,GRT,,,Active,13025,King St N,43.47247136,-80.52405569,0.28325116523780175,1
Lester St,,43.47793200235517,-80.53738708480343,Waterloo,Columbia St W at Lester St,,GRT,,,Active,11575,Columbia St W,43.47785695,-80.53726198,13.09744672162724,1
Devitt Ave,,43.46916990009915,-80.51523207774517,Waterloo,Bridgeport Rd E at Devitt Ave,,GRT,,,Active,10989,Bridgeport Rd E,43.46917001,-80.51523199,0.014123687214879128,1
Golden Eagle Rd,,43.499016430525714,-80.5513811693349,Waterloo,Weber St N at Golden Eagle Rd,,GRT,,,Active,13852,Weber St N,43.49901593,-80.55138072,0.06641639951447748,1
ION platform - Southbound,,43.473261,-80.541209,Waterloo,University of Waterloo Station at ION platform - Southbound,,GRT,,,Active,13380,University of Waterloo Station,43.473261,-80.541209,0.0,1
Sprucehill Ave,,43.48961399,-80.54806001,Waterloo,Cedarbrae Ave at Sprucehill Ave,,GRT,,,Active,10157,Cedarbrae Ave,43.48961399,-80.54806001,0.0,1
Marshall St,,43.47503774113438,-80.51744344970078,Waterloo,Weber St N at Marshall St,,GRT,,,Active,11889,Weber St N,43.47503801,-80.51744296,0.049550004050529735,1
Hazel St,,43.475238049260795,-80.52790085096525,Waterloo,University Ave W at Hazel St,,GRT,,,Active,13008,University Ave W,43.47524001,-80.52789997,0.22932028157818424,1
Columbia St E,,43.48244787693407,-80.52610918397978,Waterloo,King St N at Columbia St E,,GRT,,,Active,13274,King St N,43.482448,-80.526106,0.2572521476953543,1
Holly St,,43.48070297,-80.52968698,Waterloo,Columbia St W at Holly St,,GRT,,,Active,11564,Columbia St W,43.48070297,-80.52968698,0.0,1
Dearborn Blvd,,43.49020573270976,-80.51694432575535,Waterloo,Lexington Rd at Dearborn Blvd,,GRT,,,Active,12785,Lexington Rd,43.490208,-80.516945,0.2579118728826861,1
Northfield Dr E,,43.50147446,-80.530614,Waterloo,Kraus Dr at Northfield Dr E,,GRT,,,Active,13158,Kraus Dr,43.50147446,-80.530614,0.0,1
Hemlock St,,43.4745523206527,-80.52940546164074,Waterloo,University Ave W at Hemlock St,,GRT,,,Active,11839,University Ave W,43.47412697,-80.53031004,86.97635590120582,1
Path to McCarron Cres,,43.45732697,-80.55201295,Waterloo,Keats Way at Path to McCarron Cres,,GRT,,,Active,12219,Keats Way,43.45732697,-80.55201295,0.0,1
Wissler Rd,,43.505216083357446,-80.52554704819349,Waterloo,Northfield Dr E at Wissler Rd,,GRT,,,Active,10954,Northfield Dr E,43.50521499,-80.52555197,0.4151491425474341,1
Randall Dr,,43.5011074,-80.55294434,Waterloo,Weber St N at Randall Dr,,GRT,,,Active,13853,Weber St N,43.5011074,-80.55294434,0.0,1
Waterloo Collegiate Institute,,43.47895499,-80.53103103,Waterloo,Hazel St at Waterloo Collegiate Institute,,GRT,,,Active,10167,Hazel St,43.47895499,-80.53103103,0.0,1
Longwood Dr,,43.49054843099701,-80.53916291455987,Waterloo,Albert St at Longwood Dr,,GRT,,,Active,10182,Albert St,43.49054201,-80.53916294,0.7139852413592361,1
Wes Graham Way,,43.47924997,-80.54958696,Waterloo,Hagey Blvd at Wes Graham Way,,GRT,,,Active,13019,Hagey Blvd,43.47924997,-80.54958696,0.0,1
Gage Ave,,43.447603,-80.51428796,Kitchener,Belmont Ave W at Gage Ave,,GRT,,,Active,11749,Belmont Ave W,43.447603,-80.51428796,0.0,1
Hazel St,,43.48003495,-80.53112504,Waterloo,Columbia St W at Hazel St,,GRT,,,Active,11577,Columbia St W,43.48003495,-80.53112504,0.0,1
Highland Rd,,43.43154013,-80.52521131,Kitchener,Fischer-Hallman Rd at Highland Rd,,GRT,,,Active,12948,Fischer-Hallman Rd,43.43154013,-80.52521131,0.0,1
Kumpf Dr,,43.50371960598522,-80.54473724183515,Waterloo,Randall Dr at Kumpf Dr,,GRT,,,Active,13847,Randall Dr,43.50372086,-80.54473724,0.13944016013188584,1
Amos Ave,,43.45842202,-80.54916703,Waterloo,Keats Way at Amos Ave,,GRT,,,Active,12992,Keats Way,43.45842202,-80.54916703,0.0,1
Toman Dr,,43.51505668102734,-80.51918450072394,Waterloo,Northfield Dr E at Toman Dr,,GRT,,,Active,12770,Northfield Dr E,43.51481504,-80.51950905,37.50837662498042,1
Dunvegan Dr,,43.49453928912206,-80.51020468622323,Waterloo,Lexington Rd at Dunvegan Dr,,GRT,,,Active,12700,Lexington Rd,43.49454204,-80.51019998,0.48752715238348704,1
North Campus Rd,,43.4744891,-80.54661289,Waterloo,Columbia St W at North Campus Rd,,GRT,,,Active,12946,Columbia St W,43.4744891,-80.54661289,0.0,1
Sandford Fleming Dr,,43.45600301,-80.56173502,Waterloo,Keats Way at Sandford Fleming Dr,,GRT,,,Active,12531,Keats Way,43.45600301,-80.56173502,0.0,1
Westmount Rd E,,43.43316046099514,-80.51067925853228,Kitchener,Queens Blvd at Westmount Rd E,,GRT,,,Active,12412,Queens Blvd,43.43316303,-80.51068296,0.4134403425610532,1
Leighland Dr,,43.45763799,-80.56832195,Waterloo,Keats Way at Leighland Dr,,GRT,,,Active,11013,Keats Way,43.45763799,-80.56832195,0.0,1
Thorndale Dr,,43.44856296,-80.55030196,Waterloo,Fischer-Hallman Rd S at Thorndale Dr,,GRT,,,Active,12226,Fischer-Hallman Rd S,43.44856296,-80.55030196,0.0,1
Columbia St W,,43.46855800271192,-80.56712567117768,Waterloo,Fischer-Hallman Rd N at Columbia St W,,GRT,,,Active,10120,Fischer-Hallman Rd N,43.46855802,-80.567125,0.05419810112661561,1
Gallarno Crt,,43.44251372918171,-80.5351638549802,Kitchener,Westwood Dr at Gallarno Crt,,GRT,,,Active,12320,Westwood Dr,43.44251303,-80.535163,0.10396645862621352,1
Columbia St W,,43.48008702,-80.53190201,Waterloo,Hazel St at Columbia St W,,GRT,,,Active,13013,Hazel St,43.48008702,-80.53190201,0.0,1
Frobisher Dr,,43.51199029,-80.52253964,Waterloo,Bridge St W at Frobisher Dr,,GRT,,,Active,12955,Bridge St W,43.51199029,-80.52253964,0.0,1
Kingscourt Dr,,43.497050232097614,-80.52059752260239,Waterloo,Davenport Rd at Kingscourt Dr,,GRT,,,Active,11869,Davenport Rd,43.49705197,-80.520597,0.19779018391546377,1
Weber St N,,43.49564999669149,-80.54970274051416,Waterloo,Northfield Dr W at Weber St N,,GRT,,,Active,10204,Northfield Dr W,43.49565116,-80.54970194,0.14457546115001235,1
Brookhaven Cres,,43.487043074640184,-80.55542309055066,Waterloo,Glen Forrest Blvd at Brookhaven Cres,,GRT,,,Active,10191,Glen Forrest Blvd,43.48704303,-80.55542298,0.010206968106852376,1
Skylark Rd,,43.49455360766813,-80.55677190534803,Waterloo,Northlake Dr at Skylark Rd,,GRT,,,Active,10201,Northlake Dr,43.49455402,-80.55677256,0.06993424055554191,1
Belmont Ave W,,43.44301659328147,-80.5122856544713,Kitchener,Victoria St S at Belmont Ave W,,GRT,,,Active,12174,Victoria St S,43.44301499,-80.51228798,0.25890618160339757,1
Lincoln Rd,,43.471114910631506,-80.51350563958187,Waterloo,Weber St N at Lincoln Rd,,GRT,,,Active,11720,Weber St N,43.47110197,-80.51349995,1.5104061990050948,1
Regina St,,43.47684252426841,-80.52327511579769,Waterloo,University Ave E at Regina St,,GRT,,,Active,11726,University Ave E,43.47684801,-80.52327195,0.6613125650328421,1
York St,,43.45293501,-80.51388501,Kitchener,Glasgow St at York St,,GRT,,,Active,12342,Glasgow St,43.45293501,-80.51388501,0.0,1
King St N,,43.50139144330225,-80.53361081346976,Waterloo,Northfield Dr W at King St N,,GRT,,,Active,10208,Northfield Dr W,43.501393,-80.533612,0.19779078478853288,1
Westvale Dr,,43.45007011429271,-80.5576227098196,Waterloo,Gateview Dr at Westvale Dr,,GRT,,,Active,11023,Gateview Dr,43.45005798,-80.55761095,1.6497630971453656,1
Glasgow St,,43.45016003,-80.51574197,Kitchener,Belmont Ave W at Glasgow St,,GRT,,,Active,11821,Belmont Ave W,43.45016003,-80.51574197,0.0,1
Erb St W,,43.452908996280165,-80.55368525351051,Waterloo,Fischer-Hallman Rd N at Erb St W,,GRT,,,Active,11008,Fischer-Hallman Rd N,43.45291003,-80.553685,0.1167517593439544,1
Columbia St,,43.48233040703826,-80.52634922034899,Waterloo,King St N at Columbia St,,GRT,,,Active,11562,King St N,43.48233198,-80.52635196,0.2818692153165472,1
Albert St,,43.49204204,-80.53763301,Waterloo,Weber St N at Albert St,,GRT,,,Active,10183,Weber St N,43.49204204,-80.53763301,0.0,1
Phillip St,,43.47247984519935,-80.53767583982813,Waterloo,University Ave W at Phillip St,,GRT,,,Active,11730,University Ave W,43.472251,-80.536069,132.13704463226628,1
Glen Forrest Blvd,,43.48566976170551,-80.55156047263122,Waterloo,Cedarbrae Ave at Glen Forrest Blvd,,GRT,,,Active,10154,Cedarbrae Ave,43.48567001,-80.55156004,0.04450293313651527,1
Lawrence Ave,,43.44197504,-80.51468504,Kitchener,Victoria St S at Lawrence Ave,,GRT,,,Active,12282,Victoria St S,43.44197504,-80.51468504,0.0,1
Overlea Dr,,43.43540704,-80.51246004,Kitchener,Westmount Rd W at Overlea Dr,,GRT,,,Active,12258,Westmount Rd W,43.43540704,-80.51246004,0.0,1
Roslin Ave S,,43.46148832505107,-80.5317285245186,Waterloo,Erb St W at Roslin Ave S,,GRT,,,Active,11039,Erb St W,43.46148697,-80.53172802,0.15607999457119381,1
Westwood Dr,,43.44688009925319,-80.5229456246663,Kitchener,Westmount Rd W at Westwood Dr,,GRT,,,Active,12982,Westmount Rd W,43.44687857,-80.52294409,0.21039146718869836,1
Seawind Trail,,43.51145119619991,-80.51278915052937,Waterloo,Chesapeake Dr at Seawind Trail,,GRT,,,Active,13131,Chesapeake Dr,43.51066958,-80.51389947,124.78384721710985,1
190 Northfield Dr W,,43.496675,-80.54752,Waterloo,Northfield Dr W at 190 Northfield Dr W,,GRT,,,Active,10140,Northfield Dr W,43.496675,-80.54752,0.0,1
Stop 3798,,43.49818164,-80.52927432,Waterloo,Conestoga Station at Stop 3798,,GRT,,,Active,12828,Conestoga Station,43.49818164,-80.52927432,0.0,1
Hemlock St,,43.47423097051978,-80.53048692616728,Waterloo,University Ave W at Hemlock St,,GRT,,,Active,11728,University Ave W,43.47426072,-80.53054665,5.845343173489452,1
