source,stop_id,name,street,cross_street,municipality,status,lon,lat
GRT,12245,Westmount Rd E at Laurentian Dr,Westmount Rd E,Laurentian Dr,Kitchener,Active,-80.50116702,43.41680801
GRT,13728,University of Waterloo Station at Platform 3,University of Waterloo Station,Platform 3,Waterloo,Active,-80.540778,43.474173
GRT,12154,Greenbrook Dr at Birchcliffe Ave,Greenbrook Dr,Birchcliffe Ave,Kitchener,Active,-80.51251397,43.42405504
GRT,13693,Morningside Cir at Postal Pick Up #5,Morningside Cir,Postal Pick Up #5,Wilmot,Active,-80.68963,43.374745
GRT,12113,Hoffman St at Ottawa St S,Hoffman St,Ottawa St S,Kitchener,Active,-80.47999299,43.43190804
GRT,11024,Westvale Dr at Heather Hill Pl,Westvale Dr,Heather Hill Pl,Waterloo,Active,-80.558366,43.448492
GRT,13490,Zeller Dr at Wild Meadow St,Zeller Dr,Wild Meadow St,Kitchener,Active,-80.417438,43.453235
GRT,13687,Hincks St at James St (Flex Stop),Hincks St,James St (Flex Stop),Wilmot,Active,-80.715167,43.387974
GRT,11761,Queen St S at Courtland Ave E,Queen St S,Courtland Ave E,Kitchener,Active,-80.49333995,43.445643
GRT,11061,Bridge St W at Bridle Trail,Bridge St W,Bridle Trail,Waterloo,Active,-80.488414,43.485413
GRT,12861,King St N at Cedar St,King St N,Cedar St,Woolwich,Active,-80.55388298,43.53771695
GRT,11729,University Ave W at Sunview St,University Ave W,Sunview St,Waterloo,Active,-80.53314801,43.47326499
GRT,10887,Fairway Rd S at Wilson Ave,Fairway Rd S,Wilson Ave,Kitchener,Active,-80.44433197,43.42087296
GRT,10905,Weber St E at Emmanuel Village Homes,Weber St E,Emmanuel Village Homes,Kitchener,Active,-80.44455794,43.43364698
GRT,10448,Langs Dr at Industrial Rd,Langs Dr,Industrial Rd,Cambridge,Active,-80.33131697,43.40031204
GRT,10444,Langs Dr at William G. Davis Public School,Langs Dr,William G. Davis Public School,Cambridge,Active,-80.34401697,43.39813999
GRT,10375,Green Vista Dr at Whittaker Cres,Green Vista Dr,Whittaker Cres,Cambridge,Active,-80.29453303,43.39452204
GRT,11338,Myers Rd at Cheese Factory Rd,Myers Rd,Cheese Factory Rd,Cambridge,Active,-80.29066115,43.34268765
GRT,13180,The Boardwalk Station at Stop 4003,The Boardwalk Station,Stop 4003,Kitchener,Active,-80.561022,43.43544
